akvarium	akvariet	akvarier	akvarierne
appelsin	appelsinen	appelsiner	appelsinerne
barn	barnet	børn	børnene
billede	billedet	billeder	billederne
blender	blenderen	blendere	blenderne
blomst	blomsten	blomster	blomsterne
bog	bogen	bøger	bøgerne
brev	brevet	breve	brevene
brevvægt	brevvægt	brevvægte	brevvægtene
brød	brødet	brød	brødene
dug	dugen	duge	dugene
dybfryser	dybfryseren	dybfrysere	dybfryserne
emballage	emballagen	emballager	emballagerne
fjerkræ	fjerkræet	-	-
fjernsyn	fjernsynet	fjernsyn	fjernsynene
flyttemappe	flyttemappen	flyttemapper	flyttemapperne
frimærke	frimærket	frimærker	frimærkerne
frugt	frugten	frugter	frugterne
føl	føllet	føl	føllene
får	fåret	får	fårene
gaffel	gaffelen	gafler	gaflerne
gardin	gardinet	gardiner	gardinerne
girokort	girkortet	girokort	girokortene
glas	glasset	glas	glassene
gris	grisen	grise	grisene
gryde	gryden	gryder	gryderne
grøntsag	grøntsagen	grøntsager	grøntsagerne
gulerod	guleroden	gulerødder	gulerødderne
hane	hanen	haner	hanerne
hest	hesten	heste	hestene
hund	hunden	hunde	hundene
hundehvalp	hundehvalpen	hundehvalpe	hundehvalpene
hvidløg	hvidløget	hvidløg	hvidløgene
høne	hønen	høns	hønsene
kaffedåse	kaffedåsen	kaffedåser	kaffedåserne
kaffemaskine	kaffemaskinen	kaffemaskiner	kaffemaskinerne
kagedåse	kagedåsen	kagedåser	kagedåserne
kalv	kalven	kalve	kalvene
kanariefugl	kanariefuglen	kanariefugle	kanriefuglene
kartoffel	kartoffelen	kartofler	kartoflerne
kat	katten	katte	kattene
kedel	kedelen	kedler	kedlerne
kniv	kniven	knive	knivene
ko	koen	køer	køerne
komfur	komfuret	komfurer	komfurerne
konvolut	konvolutten	konvolutter	konvolutterne
kop	koppen	kopper	kopperne
krus	kruset	krus	krusene
kuvert	kuverten	kuverter	kuverterne
kvinde	kvinden	kvinder	kvinderne
kylling	kyllingen	kyllinger	kyllingerne
køkkenskab	køkkenskabet	køkkenskabe	køkkenskabene
køleskab	køleskabet	køleskabe	køleskabene
lam	lammet	lam	lammene
luftpostbrev	luftpostbrevet	luftpostbreve	luftpostbrevene
lænestol	lænestolen	lænestole	lænestolene
løg	løget	løg	løgene
mad	maden	-	-
maleri	maleriet	malerier	malerierne
mand	manden	mænd	mændene
mikrobølgeovn	mikrobølgeovnen	mikrobølgeovne	mikrobølgeovnene
mink	minken	minke	minkene
mælk	mælken	-	-
nummer	nummeret	numre	numrene
oksekød	oksekødet	-	-
pakke	pakken	pakker	pakkerne
peber	peberet	-	-
persille	persillen	-	-
porre	porren	porrer	porrerne
postbud	postbudet	postbude postbudene
posthus	posthuset	posthuse posthusene
postkasse	postkassen	postkasser	postkasserne
postkort	postkortet	postkort	postkortene
postsæk	postsækken	postsække	postsækkene
potteplante	potteplanten	potteplanter	potteplanterne
prøvekuvert	prøvekuverten	prøvekuverter	prøvekuverterne
reol	reolen	reoler	reolerne
ris	risen	ris	risene
rudekuvert	rudekuverten	rudekuverter	rudekuverterne
røremaskine	røremaskinen	røremaskiner	røremaskinerne
salt	saltet	-	-
skranke	skranken	skranker	skrankerne
sofa	sofaen	sofaer	sofaerne
sofabord	sofabordet	sofaborde	sofabordene
spaghetti	spaghettien	-	-
spisebord	spisebordet	spiseborde	spisebordene
stegepande	stegepanden	stegepander	stegepanderne
stempel	stemplet	stempler	stemplerne
stereoanlæg	stereoanlægget	stereoanlæg	stereoanlæggene
stol	stolen	stole	stolene
svin	svinet	svin	svinene
sølvræv	sølvræven	sølvræve	sølvrævene
tallerken	tallerkenen	tallerkner	tallerknerne
tedåse	tedåsen	tedåser	tedåserne
tomat	tomaten	tomater	tomaterne
tyr	tyren	tyre	tyrene
tæppe	tæppet	tæpper	tæpperne
vase	vasen	vaser	vaserne
æble	æblet	æbler	æblerne
æg	ægget	æg	æggene
